Word;Non-FS (neutral); 
greatest;1;
greatly;1;
growing;1;
growth;1;
halt;1;
halted;1;
hard;1;
harder;1;
hardest;1;
hardly;1;
harmonised;1;
haven;1;
hazard;1;
healthier;1;
heaviest;1;
hedge;1;
hedged;1;
heightened;1;
heightening;1;
helpful;1;
helping;1;
herd;1;
hidden;1;
higher;1;
highest;1;
hike;1;
hinge;1;
hit;1;
hitting;1;
hoarding;1;
hold;1;
hope;1;
houses;1;
hovered;1;
hovering;1;
illegal;1;
imminent;1;
immune;1;
impacting;1;
impairment;1;
impending;1;
impetus;1;
impose;1;
impossible;1;
impressive;1;
impulse;1;
impulses;1;
inappropriate;1;
inbound;1;
incidence;1;
incident;1;
incidents;1;
incomplete;1;
incorrect;1;
increase;1;
increased;1;
increases;1;
increasing;1;
increment;1;
incurred;1;
incurring;1;
indebted;1;
indebtedness;1;
indemnity;1;
indicative;1;
induced;1;
inevitably;1;
inflows;1;
influential;1;
initiative;1;
injections;1;
innovation;1;
innovations;1;
insulated;1;
insured;1;
integrated;1;
integration;1;
integrity;1;
intense;1;
intensification;1;
intensify;1;
intensifying;1;
intensively;1;
intention;1;
interconnected;1;
interconnectedness;1;
interdependence;1;
interlinkages;1;
intermediation;1;
internal;1;
interrupted;1;
intervene;1;
intervened;1;
irregular;1;
irregularities;1;
irrespective;1;
isolated;1;
isolation;1;
issues;1;
jumped;1;
lack;1;
lacking;1;
lag;1;
lagging;1;
lapse;1;
lapses;1;
larger;1;
late;1;
lead;1;
leading;1;
led;1;
lengthened;1;
lengthening;1;
lessen;1;
lessened;1;
leverage;1;
leveraged;1;
levy;1;
liabilities;1;
liability;1;
liaison;1;
lies;1;
lift;1;
lifted;1;
lifting;1;
light;1;
limit;1;
limitation;1;
limitations;1;
limiting;1;
limits;1;
lingering;1;
linkages;1;
lions;1;
liquid;1;
liquidate;1;
liquidation;1;
liquidations;1;
longest;1;
longevity;1;
looming;1;
loss;1;
lower;1;
lowered;1;
lowering;1;
lowest;1;
lucrative;1;
maintain;1;
maintained;1;
maintaining;1;
manageable;1;
managed;1;
manifest;1;
manifestation;1;
manifested;1;
manipulation;1;
marginal;1;
masks;1;
materials;1;
maturity;1;
merit;1;
midst;1;
milder;1;
minimise;1;
mirror;1;
misleading;1;
mismatch;1;
mismatches;1;
mismatching;1;
moderated;1;
moderating;1;
momentum;1;
mounting;1;
movements;1;
muted;1;
narrowed;1;
narrower;1;
narrowing;1;
negligible;1;
negotiable;1;
obstacle;1;
obstacles;1;
occurrence;1;
offbalance;1;
offered;1;
