2018-09-12;1631.12
2018-09-11;1625.86
2018-09-10;1629.48
2018-09-07;1634.8
2018-09-06;1646.96
2018-09-05;1645.29
2018-09-04;1663.22
2018-09-03;1664.47
2018-08-31;1671.41
2018-08-30;1678.05
2018-08-29;1679.51
2018-08-28;1671.44
2018-08-27;1665.18
2018-08-24;1648.43
2018-08-23;1649.24
2018-08-22;1645.4
2018-08-21;1640.45
2018-08-20;1632.65
2018-08-17;1623.22
2018-08-16;1612.52
2018-08-15;1619.16
2018-08-14;1621.61
2018-08-13;1616.34
2018-08-10;1627.44
2018-08-09;1631.74
2018-08-08;1624.1
2018-08-07;1621.26
2018-08-06;1616.29
2018-08-03;1614.86
2018-08-02;1611.26
2018-08-01;1622.09
2018-07-31;1619.11
2018-07-30;1615.4
2018-07-27;1615.39
2018-07-26;1609.65
2018-07-25;1605.28
2018-07-24;1605.4
2018-07-23;1584.94
2018-07-20;1589.89
2018-07-19;1589.81
2018-07-18;1572.63
2018-07-17;1566.75
2018-07-16;1555.11
2018-07-13;1554.17
2018-07-12;1544.18
2018-07-11;1547.21
2018-07-10;1551.37
2018-07-09;1541.61
2018-07-06;1535.7
2018-07-05;1536.05
2018-07-04;1538.03
2018-07-03;1548.79
2018-07-02;1557.46
2018-06-29;1560.74
2018-06-28;1543.24
2018-06-27;1550.14
2018-06-26;1539.4
2018-06-25;1553.12
2018-06-21;1576.96
2018-06-20;1582.27
2018-06-19;1565.62
2018-06-18;1569.64
2018-06-15;1587.64
2018-06-14;1591.66
2018-06-13;1575.47
2018-06-12;1577.04
2018-06-11;1571.23
2018-06-08;1562.36
2018-06-07;1575.74
2018-06-05;1572.12
2018-06-04;1578.47
2018-06-01;1573.36
2018-05-31;1572.42
2018-05-30;1574.65
2018-05-29;1579.5
2018-05-28;1598.35
2018-05-25;1603.04
2018-05-24;1612.78
2018-05-23;1621.9
2018-05-22;1632.3
2018-05-21;1634.76
2018-05-18;1627.13
2018-05-17;1618.95
2018-05-16;1606.7
2018-05-15;1608.47
2018-05-14;1607.4
2018-05-11;1619.79
